Name,LR,accuracy,mF1Score,f1Score,auc,precision,recall,loss
VID+TEXT_baseline,0.0001,0.8005675029868579,0.7853988465175925,0.7289894172548672,0.7803879061165861,0.7883879016553067,0.681903234429297,0.4612971045614754
VID+TEXT_Lrs,0.0001,0.7903993855606759,0.7790007789680056,0.7295005595029258,0.7771206040317863,0.7512080178947649,0.7121625233894681,0.4809960802552551
AUD+VID+TEXT_baseline,0.0001,0.7821044546850999,0.7638797111082707,0.699629860335874,0.759190820545155,0.7726307708849662,0.6472600908847902,0.4636733559154981
VID+TEXT_Xavier,0.0001,0.756221198156682,0.7437505075023422,0.6887699993447967,0.7439187304571095,0.6986122448979591,0.684255546645282,0.4892418227869815
VID_Xavier,0.0001,0.7405444615122034,0.7267416253261937,0.6669685560115883,0.7259071660417179,0.6861568989713905,0.6542101042502004,0.5622018213991542
VID_Res_1,0.0001,0.7396356033452808,0.7245292219400218,0.6612064299805571,0.7227530877394062,0.6883763937738532,0.6402566158781074,0.5713520099210707
VID_Res_2,0.0001,0.7359404335210786,0.7150826235816519,0.639485362487382,0.7117729770081981,0.7018736781522572,0.5937984496124031,0.5596422457831328
VID_2_C,0.0001,0.7285543608124254,0.7102806178697065,0.6379982044877774,0.7069354801494226,0.6825080088834732,0.6008821170809944,0.5684712830796789
VID_baseline,0.0001,0.7091440518859875,0.6941305047572388,0.6271322097431733,0.6934296302121373,0.6398046040457148,0.6169473402833467,0.5824827518789084
VID_Lrs,0.0001,0.7091440518859875,0.6941305047572388,0.6271322097431733,0.6934296302121373,0.6398046040457148,0.6169473402833467,0.5824827518789084
VID_3_C,0.0001,0.7063620071684588,0.6868871391615702,0.610579532138352,0.6849811134116673,0.651363903729467,0.5800855386260358,0.8690587733259459
