Name,LR,accuracy,mF1Score,f1Score,auc,precision,recall,loss
BERT+Residual+2FCL+Scheduler+20EPOCH+Xavier,0.01,0.7673280423280423,0.7510713112125097,0.6890546203206469,0.7487866000504073,0.7349293129776419,0.657056464927591,0.5256982545230876
BERT+7FCL+Scheduler,0.1,0.7645715992490186,0.7509445782289692,0.6930688660747639,0.7487868699346556,0.7195124765506357,0.6708209506737739,0.507400867187808
BERT+3FCL+Scheduler,0.01,0.7673621778460488,0.7473220024234118,0.6767752412248698,0.7420172295470605,0.7541906094951167,0.6175165495227762,0.5075106327592522
BERT+7FCL+Scheduler+40EPOCH,0.1,0.7572025942993685,0.7464638585882987,0.6956468931539008,0.7475471360041459,0.6947569794242459,0.7007078950264949,0.5407529299333247
BERT+7FCL+Scheduler,0.1,0.7572025942993685,0.7464638585882987,0.6956468931539008,0.7475471360041459,0.6947569794242459,0.7007078950264949,0.5407529299333247
BERT+5FCL,0.001,0.7553550093872674,0.7450820043835444,0.6962355164359231,0.7476723009873969,0.6896180187483111,0.7100363224680409,0.6065909215748402
BERT+5FCL+Scheduler,0.01,0.7562766683734425,0.7405374034174452,0.6791225798231916,0.7392556391150304,0.7147271192164808,0.6565970092928912,0.5456064757215914
ROBERTA+3FCL+Scheduler,0.01,0.7525558969107357,0.738958906767244,0.6807278692008156,0.738025851937919,0.7018633352627178,0.6662219916033776,0.5168044291109859
BERT+7FCL+Scheduler,0.01,0.7489076634237924,0.7316946692791454,0.6670908561637532,0.7315845759203918,0.7064913132438905,0.6456118999323868,0.5263546809622769
BERT+3FCL,0.001,0.743322239289981,0.729209821996528,0.678446902449629,0.734718112550522,0.697164786611507,0.693675802317719,0.532034783663248
ROBERTA+3FCL,0.001,0.7322452636968766,0.716478972675404,0.6574425945421384,0.7208466581871492,0.6788928122413912,0.6640656005786437,0.5255530771393889
VIT+LSTM+FCL+Scheduler,0.01,0.721172555043523,0.707840564925455,0.646388421470635,0.707457524369611,0.655428002405681,0.640422975926538,0.718113818900499
BERT+9FCL+Scheduler+40EPOCH,0.1,0.7239076634237924,0.7068760204953082,0.6398150508366042,0.7068157339026626,0.672596259412343,0.622333757881661,0.5427478227269061
VIT+LSTM+FCL,0.001,0.720233828298345,0.696145142624458,0.618109710644714,0.698290531658212,0.687534282530216,0.592987405066277,0.555456616454695
BERT+Residual+3FCL+Scheduler+40EPOCH,0.1,0.616952551629971,0.5458498963583184,0.4995485065974194,0.6063731840277904,0.7002392768521801,0.5619771372863499,0.6654492393484456
